"NAME","NATURAL_NODE_NAME","DESCRIPTION","ASSOCIATED_LE","ASSOCIATED_BU","GAAP_GL_BOOK_OF_RECORD","OG_LEGACY_ERP_SOURCE","OG_LEGACY_ERP_SOURCE_DESC"
"LB_027F","027F","BH2050_OGMEAS_Baker Hughes (Nederland) B.V.","LE_BH2050","BU_OGMEAS","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_257D","257D","BH2050_OGMEAS_Baker Hughes (Nederland) B.V.","LE_BH2050","BU_OGMEAS","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_H606","H606","OG1132_OGHQTR_Baker Hughes Mexico Holdings B.V.","LE_OG1132","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_H176","H176","IF1698_OGHQTR_Al-Shaheen GE Services Company","LE_IF1698","BU_OGHQTR","GL_GLG06","OE_GLG06012","Oracle Oscar"
"LB_H645","H645","CP1479_OGHQTR_Avitas Systems, Inc.","LE_CP1479","BU_OGHQTR","GL_GLG06","OE_GLG06MJE","MJE Source"
"LB_302H","302H","BH3020_OGHQTR_Baker Hughes Switzerland S.a r.l. Colombia Branch","LE_BH3020","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_439H","439H","BH9040_OGHQTR_Baker Hughes Operations SAS, Mozambique Branch","LE_BH9040","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_050F","050F","BH9048_OGHQTR_Baker Hughes Norge AS, Iceland Branch","LE_BH9048","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_119H","119H","BH1190_OGHQTR_Western Atlas Holdings LLC","LE_BH1190","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_121H","121H","BH1200_OGHQTR_Baker Hughes Financing LLC","LE_BH1200","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_124H","124H","BH1240_OGHQTR_Baker Hughes EHHC LLC","LE_BH1240","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_R683","R683","IF1548_OGDRIL_GE Oil & Gas UK Limited - Angola Branch","LE_IF1548","BU_OGDRIL","GL_GLG06","OE_GLG06005","Oracle Pascal"
"LB_108F","108F","BH5315_OGHQTR_Baker Hughes (China) Oilfield Technology Service Co., Ltd.","LE_BH5315","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_426H","426H","BH9103_OGHQTR_Baker Hughes EHO Ltd., Kenya Branch","LE_BH9103","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_215H","215H","BH2150_OGHQTR_Joint Stock Company Baker Hughes","LE_BH2150","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_215Q","215Q","BH2150_OGHQTR_Joint Stock Company Baker Hughes","LE_BH2150","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_219H","219H","BH2190_OGHQTR_Baker Hughes Nederland Holdings B.V.","LE_BH2190","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_E409","E409","CP1486_OGHDGS_Oil and Gas U.S. Treasury Services LLC","LE_CP1486","BU_OGHDGS","GL_GL017","OE_GL017001","Oracle Cloud - BKR Strategic"
"LB_L200","L200","OG1010_OGDRIL_Lufkin Argentina Srl","LE_OG1010","BU_OGDRIL","GL_GLG06","OE_GLG06016","Oilfield SAP"
"LB_YQ17","YQ17","OG1010_OGDRIL_Lufkin Argentina Srl","LE_OG1010","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_5650","5650","IF1238_OGDRIL_Vetco Gray Indonesia, PT","LE_IF1238","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_R156","R156","IF1804_OGDRIL_Submersible Oil Services (Asia), Inc.","LE_IF1804","BU_OGDRIL","GL_GLG06","OE_GLG06013","Syteline"
"LB_3202","3202","BH9072_OGDRIL_Baker Hughes Argentina S.r.l.  Sucursal del Peru","LE_BH9072","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_3505","3505","BH9073_OGDRIL_Baker Hughes (Trinidad) Limited, Guyana Branch","LE_BH9073","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_030F","030F","BH2060_OGMEAS_Baker Hughes Denmark ApS","LE_BH2060","BU_OGMEAS","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_H607","H607","OG1133_OGHQTR_Baker Hughes Employment Services International LLC","LE_OG1133","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_H620","H620","OG1134_OGHQTR_Baker Hughes US Energy Holdings LLC","LE_OG1134","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_LH01","LH01","OG1134_OGHQTR_Baker Hughes US Energy Holdings LLC","LE_OG1134","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_LH02","LH02","OG1134_OGHQTR_Baker Hughes US Energy Holdings LLC","LE_OG1134","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_LH03","LH03","OG1134_OGHQTR_Baker Hughes US Energy Holdings LLC","LE_OG1134","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_H610","H610","CP1243_OGHQTR_GE Industrial Italy Funding Srl","LE_CP1243","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_H135","H135","IF1235_OGHQTR_Baker Hughes Energy Technology do Brasil Limitada","LE_IF1235","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_E999","E999","CP1483_OGHQTR_Oil and Gas Treasury Holdings, LLC","LE_CP1483","BU_OGHQTR","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_228H","228H","BH9050_OGHQTR_Baker Hughes B.V., Russian branch","LE_BH9050","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_330H","330H","BH3030_OGHQTR_Baker Hughes Venezuela, Sociedad en Comandita por Acciones","LE_BH3030","BU_OGHQTR","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
