"LE_ID","OWNER_LE_ID"
"OG1132",""
"OG1133",""
"OG1134",""
"OG1135",""
"OG1136",""
"OG1137",""
"OG1138",""
"OG1139",""
"OG1140",""
"OG1142",""
"OG1144",""
"OG1145",""
"OG1146",""
"OG1147",""
"OG1148",""
"OG1149",""
"OG1150",""
"OG1153",""
"OG1154",""
"OG1156",""
"OG1157",""
"OG1158",""
"OG1160",""
"OG1162",""
"OG1163",""
"OG1164",""
"OG1165",""
"OG1166",""
"OG1167",""
"OG1168",""
"OG1169",""
"OG1170",""
"OG1171",""
"OG1172",""
"OG1173",""
"OG1174",""
"OG1175",""
"OG1176",""
"OG1177",""
"OG1178",""
"OG1179",""
"OG1180",""
"OG1185",""
"OG1189",""
"OG1190",""
"OG1191",""
"OG1192",""
"OG1193",""
"OG1194",""
"OG1195",""
"OG1196",""
"OG1197",""
"OG1198",""
"OG1199",""
"OG1200",""
"OG1201",""
"OG1202",""
"OG1203",""
"OG1204",""
"OG1205",""
"OG1207",""
"OG1208",""
"OG1209",""
"OG1210",""
"OG1211",""
"OG1212",""
"OG1213",""
"OG1214",""
"PS0002","I10234"
"PS0003","I10234"
"PS0004","I10234"
"PS0005","I10234"
"PS0006","I10234"
"PS0008","I10234"
"PS0012","I10234"
"PS0013","I10234"
"PS0019","I10435"
"PS0033",""
"PS0037",""
"PS0048",""
"PS0049",""
"PS0055",""
"PS0057",""
"PS0066",""
"PS0072",""
"PS0077",""
"PS0084",""
"PS0153",""
"PS0157",""
"PS0160",""
"PS0169","PS0160"
"PS0190",""
"PS0286",""
"PS0323",""
"PS0394",""
"PS0396",""
"PS0479","I10234"
"PS0488",""
"PS0489",""
"PW1032",""
"PW1421",""
"SM0081",""
"SM0280",""
"TR0009",""
