"NAME","NATURAL_NODE_NAME","DESCRIPTION","ASSOCIATED_LB","ASSOCIATED_LE","ASSOCIATED_BU"
"RF_H08401","H08401","RUS-RU-Moscow-03-colo_LE_IF1683","LB_H084","LE_IF1683","BU_OGHQTR"
"RF_H08601","H08601","RUS-RU-Moscow-03-colo_LE_IF1685","LB_H086","LE_IF1685","BU_OGHQTR"
"RF_H08701","H08701","RUS-RU-Moscow-03-colo_LE_IF1692","LB_H087","LE_IF1692","BU_OGHQTR"
"RF_H09001","H09001","RUS-RU-Moscow-03-colo_LE_IF1738","LB_H090","LE_IF1738","BU_OGHQTR"
"RF_H09101","H09101","RUS-RU-Moscow-03-colo_LE_IF1739","LB_H091","LE_IF1739","BU_OGHQTR"
"RF_H09301","H09301","RUS-RU-Moscow-03-colo_LE_IF1894","LB_H093","LE_IF1894","BU_OGHQTR"
"RF_H09401","H09401","RUS-RU-Moscow-03-colo_LE_IF1902","LB_H094","LE_IF1902","BU_OGHQTR"
"RF_H09501","H09501","RUS-RU-Moscow-03-colo_LE_IF1903","LB_H095","LE_IF1903","BU_OGHQTR"
"RF_H09601","H09601","RUS-RU-Moscow-03-colo_LE_IF1904","LB_H096","LE_IF1904","BU_OGHQTR"
"RF_M06501","M06501","RUS-RU-Moscow-03-colo_ME_LB_DR220","LB_M065","LE_DRS220","BU_OGTBMS"
"RF_M15601","M15601","RUS-RU-Moscow-03-colo_ME_LB_B368","LB_M156","LE_CP1049","BU_OGMEAS"
"RF_R01401","R01401","RUS-RU-Moscow-03-colo_ME_LB_DPS42","LB_R014","LE_CP0058","BU_OGSUBS"
"RF_R01601","R01601","RUS-RU-Moscow-03-colo_ME_LB_SX40","LB_R016","LE_CP0058","BU_OGDRIL"
"RF_R29901","R29901","RUS-RU-Moscow-03-colo_LE_CP0058","LB_R299","LE_CP0058","BU_OGDRIL"
"RF_S01301","S01301","RUS-RU-Moscow-03-colo_ME_LB_DPB42","LB_S013","LE_CP0058","BU_OGSUBS"
"RF_T04601","T04601","RUS-RU-Moscow-03-colo_LE_BR2041","LB_T046","LE_BR2041","BU_OGTBMS"
"RF_T04701","T04701","RUS-RU-Moscow-03-colo_LE_BR2049","LB_T047","LE_BR2049","BU_OGTBMS"
"RF_T04801","T04801","RUS-RU-Moscow-03-colo_LE_BR2050","LB_T048","LE_BR2050","BU_OGTBMS"
"RF_T05101","T05101","RUS-RU-Moscow-03-colo_LE_BR2068","LB_T051","LE_BR2068","BU_OGTBMS"
"RF_T05201","T05201","RUS-RU-Moscow-03-colo_LE_BR2069","LB_T052","LE_BR2069","BU_OGTBMS"
"RF_T06001","T06001","RUS-RU-Moscow-03-colo_LE_BR2118","LB_T060","LE_BR2118","BU_OGTBMS"
"RF_T06101","T06101","RUS-RU-Moscow-03-colo_LE_BR2119","LB_T061","LE_BR2119","BU_OGTBMS"
